,PLAYER,TEAM,FGM,FGA,FTM,FTA,3PM,PTS,TREB,AST,STL,BLK,TO
203,Sam Hauser,BOS,3.1,7.5,0.2,0.2,2.7,9.1,3.7,1.4,0.6,0.3,0.6
204,Jordan Walsh,BOS,2.3,4.0,0.6,0.8,0.8,5.9,4.4,0.9,0.9,0.5,0.5
205,Ziaire Williams,BKN,3.0,7.3,1.9,2.2,1.6,9.4,2.5,0.6,1.1,0.5,1.0
206,Alex Caruso,OKC,2.2,5.3,0.7,0.9,1.0,6.1,2.9,2.1,1.4,0.4,0.8
207,Harrison Barnes,SA,3.6,8.4,1.5,1.7,1.8,10.6,2.9,2.2,0.7,0.2,0.9
208,Seth Curry,GS,3.0,4.5,0.0,0.0,1.0,7.0,2.0,1.5,1.0,0.0,0.0
209,Javonte Green,DET,2.4,5.5,1.3,1.7,1.1,7.3,2.8,0.8,1.5,0.4,0.7
210,Luguentz Dort,OKC,3.1,7.6,0.7,0.8,1.9,8.7,3.8,1.1,0.9,0.5,0.7
211,Vit Krejci,ATL,3.2,6.9,0.6,0.8,2.3,9.3,2.1,1.6,0.8,0.3,0.7
212,Kyle Kuzma,MIL,4.7,9.6,2.1,2.9,0.9,12.5,4.6,2.2,0.6,0.5,1.5
213,Brandon Williams,DAL,4.4,9.7,3.2,4.0,0.5,12.4,2.9,3.7,1.1,0.2,2.0
214,Terance Mann,BKN,2.8,6.2,1.2,1.4,0.9,7.6,3.3,3.7,0.8,0.3,1.1
215,Luke Kennard,ATL,2.8,5.2,0.7,0.7,1.6,7.8,2.0,2.2,0.8,0.0,0.8
216,Ron Holland II,DET,3.0,7.3,1.7,2.1,0.6,8.4,4.4,1.4,1.4,0.4,1.4
217,Jose Alvarado,NO,2.9,6.8,0.5,0.6,1.6,7.9,2.9,3.2,1.0,0.1,1.3
218,Dru Smith,MIA,2.1,5.1,1.3,1.6,0.7,6.1,2.5,2.5,1.5,0.3,0.9
219,Brice Sensabaugh,UTA,4.1,9.2,1.9,2.1,1.7,11.7,3.0,1.5,0.7,0.1,1.2
