,PLAYER,TEAM,FGM,FGA,FTM,FTA,3PM,PTS,TREB,AST,STL,BLK,TO
104,Herbert Jones,NO,3.7,8.1,1.8,2.1,1.3,10.5,4.0,3.2,1.6,0.6,1.4
105,Deandre Ayton,LAL,6.2,10.3,0.9,1.4,0.1,13.4,8.7,1.0,0.8,0.9,1.4
106,Naz Reid,MIN,5.5,11.8,1.5,2.0,2.3,14.7,6.1,1.9,1.1,0.7,1.5
107,Aaron Gordon,DEN,5.7,10.6,3.0,3.8,1.7,16.1,6.2,1.8,0.7,0.5,1.5
108,Cam Spencer,MEM,4.3,8.5,1.6,1.9,2.7,12.9,2.6,3.3,1.2,0.1,0.9
109,Jalen Green,PHO,7.8,18.5,3.7,4.6,2.9,22.2,5.3,3.8,0.9,0.4,2.6
110,Shaedon Sharpe,POR,7.0,15.8,2.8,3.6,2.2,19.0,4.8,3.0,1.4,0.3,2.2
111,Jordan Poole,NO,6.0,14.5,3.0,3.3,3.1,18.0,2.7,4.0,0.9,0.3,2.6
112,Royce O'Neale,PHO,4.0,8.9,0.3,0.5,2.7,11.0,5.8,3.1,1.0,0.6,1.1
113,Kyshawn George,WAS,6.0,13.6,1.7,2.3,2.3,16.0,5.1,4.3,0.9,0.8,1.7
114,Devin Vassell,SA,5.7,13.0,1.8,2.0,2.8,15.9,3.5,3.1,1.1,0.4,1.3
115,Ja Morant,MEM,6.5,16.0,5.1,6.0,1.0,19.0,4.2,8.4,0.8,0.3,3.5
116,Andrew Nembhard,IND,5.6,13.0,3.9,4.3,1.8,17.0,3.1,6.4,0.5,0.2,1.9
117,Grayson Allen,PHO,4.4,10.0,1.8,2.1,2.8,13.4,3.9,2.9,1.0,0.5,1.3
118,Brandon Miller,CHA,6.6,15.4,2.1,2.5,2.8,18.1,4.4,2.7,0.9,0.6,2.0
119,Sandro Mamukelashvili,TOR,4.5,8.8,1.4,1.8,1.6,12.0,6.7,2.0,1.0,0.6,0.9
120,Dillon Brooks,PHO,7.0,16.1,3.5,4.2,2.2,19.8,3.6,2.0,1.3,0.2,1.1
121,Jarrett Allen,CLE,5.0,8.8,2.3,3.2,0.0,12.3,7.8,2.0,1.0,0.9,1.2
122,Naji Marshall,DAL,5.3,10.8,2.5,3.0,1.0,14.1,5.8,3.4,1.0,0.2,1.8
123,Anthony Black,ORL,5.4,11.6,2.2,2.9,1.5,14.5,4.1,3.6,1.4,0.7,2.2
124,Jusuf Nurkic,UTA,4.9,9.5,1.3,2.0,0.5,11.7,9.5,4.0,1.0,0.5,2.4
125,CJ McCollum,WAS,6.5,14.8,1.9,2.3,2.5,17.4,3.5,4.8,0.8,0.5,1.5
126,Tre Jones,CHI,3.9,7.6,1.4,1.7,0.9,10.1,3.7,6.6,1.0,0.2,1.4
127,Ajay Mitchell,OKC,5.0,11.0,1.8,2.1,1.3,13.2,3.8,3.5,1.5,0.2,1.4
128,Daniel Gafford,DAL,4.2,6.2,1.7,2.5,0.0,10.1,6.6,1.3,0.6,1.5,0.9
129,Draymond Green,GS,3.3,7.2,1.3,1.8,1.1,8.9,6.6,5.8,1.0,0.8,2.5
130,Brandin Podziemski,GS,4.7,10.5,2.0,2.7,2.0,13.4,5.8,4.0,1.2,0.2,1.4
131,Dejounte Murray,NO,6.1,14.1,2.2,2.8,1.6,16.1,4.4,5.3,1.3,0.3,2.2
132,T.J. McConnell,IND,4.9,9.3,0.9,1.2,0.3,11.0,3.2,5.7,1.4,0.2,1.0
133,Dyson Daniels,ATL,4.8,10.0,1.2,2.0,0.3,11.2,6.3,4.0,2.0,0.6,2.1
134,Donovan Clingan,POR,4.0,7.7,1.6,2.5,1.1,10.8,10.4,1.8,0.4,1.3,1.7
135,Dylan Harper,SA,5.0,10.7,3.0,3.7,1.4,14.4,3.2,4.1,1.2,0.4,1.8
136,Isaiah Stewart,DET,3.8,7.4,1.3,1.8,1.0,10.0,5.5,1.2,0.4,1.9,1.0
137,Bennedict Mathurin,IND,6.1,14.2,3.8,4.4,2.3,18.4,5.8,2.2,0.7,0.2,2.0
138,Bobby Portis,MIL,5.6,11.4,1.2,1.5,1.2,13.6,7.7,1.6,0.8,0.5,1.1
139,Cason Wallace,OKC,3.6,7.5,0.5,0.6,1.4,9.1,3.4,2.4,1.6,0.6,0.8
140,Davion Mitchell,MIA,3.5,7.5,0.8,1.1,1.1,8.9,2.5,7.8,1.4,0.2,2.0
141,Robert Williams III,POR,2.5,3.9,0.8,1.0,0.0,5.9,5.9,1.0,0.8,1.5,0.9
142,Bilal Coulibaly,WAS,3.8,9.0,2.3,3.0,1.0,10.8,5.2,2.7,1.4,1.0,1.9
143,Tari Eason,HOU,4.7,9.4,1.3,1.8,1.5,12.1,5.8,1.4,1.0,0.7,1.1
144,Cameron Johnson,DEN,5.1,11.1,2.3,2.7,2.0,14.4,4.1,2.6,0.8,0.4,1.3
145,Moussa Diabate,CHA,3.6,5.9,1.5,2.5,0.0,8.8,9.2,1.5,0.9,1.0,1.2
146,Obi Toppin,IND,5.1,10.0,1.3,1.7,1.7,13.1,5.0,2.0,0.7,0.6,1.1
147,Jaylen Wells,MEM,4.7,10.4,2.5,3.1,2.2,14.1,3.9,2.0,1.2,0.2,1.0
148,Maxime Raynaud,SAC,4.0,7.4,1.8,2.2,1.0,10.7,6.8,1.7,0.5,0.7,1.0
149,Jakob Poeltl,TOR,4.0,6.2,1.2,1.9,0.0,9.3,8.3,2.2,0.8,0.8,1.5
150,Brook Lopez,LAC,3.5,7.7,1.0,1.2,1.9,9.8,3.7,1.2,0.4,1.6,1.0
151,Julian Champagnie,SA,3.3,7.7,1.2,1.4,2.4,10.3,4.8,1.0,1.0,0.6,1.1
152,Al Horford,GS,3.1,6.6,0.5,0.5,1.7,8.2,5.9,2.2,0.6,0.9,0.7
153,Keon Ellis,SAC,2.7,6.0,0.8,1.0,1.7,8.0,2.7,1.7,1.4,0.8,0.9
154,Aaron Nesmith,IND,5.8,13.3,1.9,2.3,2.6,16.2,4.7,1.7,0.6,0.4,1.1
155,Ausar Thompson,DET,4.6,9.2,2.0,3.2,0.4,11.5,5.5,2.1,1.5,1.0,1.3
156,Tobias Harris,DET,4.6,9.6,1.8,2.1,1.0,11.9,4.8,2.1,0.8,0.6,1.0
157,Donte DiVincenzo,MIN,4.6,11.2,1.0,1.2,3.0,13.1,3.7,3.1,1.0,0.4,1.5
